## LENS DESCRIPTION FILE
## TAKEN FROM W. J. Smith, Modern Lens Design (MLD) (New York, McGraw-Hill, 1992)


## F/8.0 90DEGHFOV FISHEYE MIYAMOTO JOSA 1964
## EFFECTIVE FOCAL LENGTH = 	100.0
## BACK FOCAL LENGTH = 		150.1
## MAX NUMERICAL APERTURE = 	F/8.0


## RADIUS OF CURVATURE // THICKNESS // MATERIAL // IOR // V-NUMBER // APERTURE

599.383	35.030	BK7 1.517	64.2	448.4
235.825	190.161	AIR 0.0	0.0	234.0
605.513	30.025	FK5	1.487	70.4	251.8
111.094	120.102	AIR	0.0	0.0	110.1
-452.384	10.008	FK5	1.487	70.4	93.5
127.733	45.038	SF56	1.785	26.1	93.5
462.892	25.021	AIR	0.0	0.0	93.5
0.0	15.013	K3	1.518 59.0	65.4
0.0	36.281	AIR	0.0	0.0 15.8
38507.649	10.008	SF56 1.785 26.1	84.1
95.081	110.093	LAF2	1.744	44.7	84.1
-162.638	130.110	AIR	0.0	0.0	84.1
1376.167	20.017	SF56	1.785	26.1	139.0
177.275	150.127	BSF52	1.702	41.0	139.0
-400.339	18.766	BASF6	1.668	31.9	130.0
-337.536	150.119	AIR	0.0	0.0	139.9
